DATA,PRECIPITACAO_PR,PRESSAO_ATM_PR,TEMP_AR_BULBO_SECO_PR,TEMP_ORVALHO_PR,UMIDADE_RELATIVA_AR_PR,VELOCIDADE_VENTO_PR,PRECIPITACAO_RS,PRESSAO_ATM_RS,TEMP_AR_BULBO_SECO_RS,TEMP_ORVALHO_RS,UMIDADE_RELATIVA_AR_RS,VELOCIDADE_VENTO_RS,PRECIPITACAO_SC,PRESSAO_ATM_SC,TEMP_AR_BULBO_SECO_SC,TEMP_ORVALHO_SC,UMIDADE_RELATIVA_AR_SC,VELOCIDADE_VENTO_SC
2010-09-29,7.6,943.0011961722488,19.250717703349284,16.105023923444975,83.59569377990431,1.14688995215311,21.4,968.8562424242424,17.55151515151515,12.708529048207664,76.0111111111111,2.8374545454545457,22.4,941.7175000000001,18.220000000000002,14.913333333333332,83.10416666666667,2.1131249999999997
2010-09-30,0.6000000000000001,944.4793911007026,20.41077283372365,15.56791569086651,76.07025761124122,1.3170960187353629,0.2,973.1918951132301,15.784624553039333,9.215525672371639,68.28693528693529,2.327651966626937,7.2,944.0254166666667,18.341666666666665,13.185208333333332,74.33333333333333,2.0377083333333332
2010-10-01,186.2,946.1456876456876,19.218881118881118,16.90955710955711,87.15384615384616,1.4762237762237762,11.4,975.0240762812872,15.091299165673421,9.547730061349693,71.7239263803681,2.6427890345649585,133.2,945.6620833333333,16.58354166666667,13.933124999999999,84.98958333333333,1.8420833333333335
2010-10-02,222.0,948.080731707317,18.991219512195123,16.687317073170732,87.68780487804878,2.2873170731707315,15.799999999999999,979.5711722488038,13.052033492822966,8.296182266009852,75.54679802955665,3.3113636363636365,183.0,947.271875,15.186458333333333,13.048125,87.81666666666666,2.9458333333333333
2010-10-03,10.0,951.9265700483091,15.190579710144927,12.190338164251209,83.20531400966183,2.822463768115942,1.0,982.4535329341317,12.561556886227544,5.057668711656442,64.35574572127139,2.513892215568862,10.4,952.653125,12.650416666666667,8.358749999999999,76.96875,2.7147916666666663
2010-10-04,166.8,954.2437994722956,15.243007915567283,13.10791556728232,87.8311345646438,2.1715039577836412,25.0,978.4253285543608,14.739665471923537,9.456601466992666,72.61510353227771,2.2917562724014338,131.0,951.0333333333333,12.905833333333334,10.867708333333333,87.84791666666666,2.4079166666666665
2010-10-05,49.4,950.5,18.75375,14.297,78.0125,1.4392500000000001,5.2,976.6305489260144,16.63723150357995,11.722604422604423,75.97423312883436,1.3992840095465393,87.0,948.1233333333333,16.1,13.06875,83.91041666666666,1.715
2010-10-06,0.8,946.4128668171558,20.657787810383745,14.867268623024831,73.09255079006772,2.2936794582392777,16.0,971.5948592411261,18.981640146878824,13.335049019607842,72.54289215686275,2.7365973072215426,3.6,945.830625,18.559375,13.289583333333333,74.41458333333334,2.689583333333333
2010-10-07,471.2,943.1842592592592,19.15949074074074,16.33125,84.5625,2.849537037037037,675.8,968.1567401960784,17.03125,14.750980392156862,87.1029411764706,3.5568627450980395,541.4,940.6800000000001,17.246875,14.845833333333333,86.81666666666666,3.2975
2010-10-08,1.0,948.1890951276102,17.525754060324825,10.839907192575406,68.02784222737819,3.2394431554524363,105.4,974.9394607843137,14.4984068627451,11.626960784313725,84.12132352941177,3.476470588235294,41.0,944.1777083333333,15.392916666666668,10.180208333333333,73.64166666666667,4.628033472803347
2010-10-09,0.0,953.008988764045,17.7561797752809,10.878426966292134,67.18876404494382,2.3375280898876407,11.200000000000001,982.4991421568628,15.73357843137255,11.687867647058823,78.89338235294117,2.695343137254902,15.200000000000001,953.2047916666667,15.188125000000001,10.838750000000001,77.5875,2.7579166666666666
2010-10-10,0.6000000000000001,951.8622685185185,18.00324074074074,10.530092592592593,64.40972222222223,3.0824074074074073,3.8000000000000003,983.8381127450981,14.95281862745098,9.325857843137255,71.83210784313725,3.508210784313725,15.4,954.5554166666666,14.934791666666666,10.093541666666665,74.77291666666666,2.3979166666666667
2010-10-11,1.6,952.510786516854,17.9485393258427,10.02876404494382,63.15056179775281,2.6921348314606743,3.4000000000000004,982.0113022113021,14.902211302211303,8.099017199017199,67.35995085995086,3.6490171990171993,2.0,953.08125,14.768541666666666,8.42375,69.36458333333333,2.7945833333333336
2010-10-12,0.2,952.3721973094171,17.071973094170403,8.868385650224216,61.74887892376682,3.2062780269058297,1.0,979.6314883148832,15.982287822878229,8.482533825338253,64.71217712177122,3.913038130381304,0.0,952.7814583333333,14.625208333333335,7.715208333333334,66.30625,2.5533333333333332
2010-10-13,1.0,949.8867713004485,17.33699551569507,8.70067264573991,60.53811659192825,3.6748878923766815,4.6000000000000005,975.2936274509804,17.331985294117647,10.291299019607845,65.55637254901961,4.44375,1.2000000000000002,950.5597916666667,14.605625,8.846041666666668,70.8125,3.2572916666666667
2010-10-14,75.0,947.7217194570136,18.780995475113123,13.217873303167421,72.47737556561086,3.409502262443439,375.4,971.6511029411765,16.94705882352941,13.717401960784313,82.00122549019608,3.5373774509803924,159.0,947.7879166666667,14.912083333333333,11.999374999999999,83.88541666666667,3.92625
2010-10-15,326.8,948.0798611111111,19.680324074074072,16.952314814814812,85.38425925925925,3.3027777777777776,61.6,971.4415233415234,19.35945945945946,16.475307125307125,84.34029484029485,1.8367321867321866,351.0,945.7075,17.373541666666664,15.526458333333332,89.33333333333333,2.9471816283924843
2010-10-16,206.8,949.4576354679803,19.20246305418719,17.37192118226601,89.53448275862068,1.8110837438423644,136.2,974.6589460784313,18.8328431372549,16.067401960784313,84.70588235294117,2.204901960784314,19.0,947.0919831223629,18.846413502109705,16.251476793248944,85.69198312236287,1.5964135021097048
2010-10-17,30.0,947.8402777777778,20.580092592592592,17.239120370370372,82.82870370370371,1.464351851851852,25.8,976.6872549019608,16.432352941176468,12.57218137254902,79.99632352941177,2.605392156862745,114.2,947.2112500000001,18.241666666666667,15.771875,86.65625,2.2514583333333333
2010-10-18,136.4,947.4718181818181,19.475681818181815,13.690681818181817,73.04772727272727,2.213636363636364,1.8,976.4404411764706,15.081862745098038,8.386764705882353,67.9779411764706,1.9920343137254901,114.6,947.2702083333334,16.06083333333333,11.389583333333333,76.88958333333333,2.5770833333333334
2010-10-19,1.0,949.3173245614036,18.95263157894737,10.90263157894737,63.66008771929825,2.144298245614035,0.4,976.6230674846627,16.407116564417176,8.997791411042945,65.67239263803681,1.8959509202453988,0.6000000000000001,948.67,16.349583333333335,9.642083333333334,68.27083333333333,2.097916666666667
2010-10-20,0.0,949.2385927505331,20.45138592750533,12.013432835820895,61.95948827292111,2.2362473347547973,0.4,974.3747239263804,18.65766871165644,10.189325153374233,62.426993865030674,2.698159509202454,0.0,947.9383333333334,17.962708333333335,10.657291666666667,65.82916666666667,1.973125
