id_reg,desc_reg,date,load_mwmed
SE,SUDESTE,2000-04-11 00:00:00,27512.63333333
N,NORTE,2000-04-12 00:00:00,2459.05416667
NE,NORDESTE,2000-04-12 00:00:00,6074.29583333
S,SUL,2000-04-12 00:00:00,7345.09166667
SE,SUDESTE,2000-04-12 00:00:00,27606.16666667
N,NORTE,2000-04-13 00:00:00,2471.62083333
NE,NORDESTE,2000-04-13 00:00:00,6032.675
S,SUL,2000-04-13 00:00:00,7236.44166667
SE,SUDESTE,2000-04-13 00:00:00,27753.04583333
N,NORTE,2000-04-14 00:00:00,2484.54583333
NE,NORDESTE,2000-04-14 00:00:00,6042.99166667
S,SUL,2000-04-14 00:00:00,7265.3875
SE,SUDESTE,2000-04-14 00:00:00,27872.56666667
N,NORTE,2000-04-15 00:00:00,2389.49166667
NE,NORDESTE,2000-04-15 00:00:00,5719.19583333
S,SUL,2000-04-15 00:00:00,6530.725
SE,SUDESTE,2000-04-15 00:00:00,25296.22916667
N,NORTE,2000-04-16 00:00:00,2332.10416667
NE,NORDESTE,2000-04-16 00:00:00,5273.7875
S,SUL,2000-04-16 00:00:00,5518.3625
SE,SUDESTE,2000-04-16 00:00:00,22205.8375
N,NORTE,2000-04-17 00:00:00,2472.69166667
NE,NORDESTE,2000-04-17 00:00:00,5913.9125
S,SUL,2000-04-17 00:00:00,7116.06916667
SE,SUDESTE,2000-04-17 00:00:00,26388.5975
N,NORTE,2000-04-18 00:00:00,2436.8625
NE,NORDESTE,2000-04-18 00:00:00,6054.025
S,SUL,2000-04-18 00:00:00,7169.69583333
SE,SUDESTE,2000-04-18 00:00:00,27175.525
N,NORTE,2000-04-19 00:00:00,2471.3625
NE,NORDESTE,2000-04-19 00:00:00,6040.55833333
S,SUL,2000-04-19 00:00:00,7086.29166667
SE,SUDESTE,2000-04-19 00:00:00,27274.2625
N,NORTE,2000-04-20 00:00:00,2442.7125
NE,NORDESTE,2000-04-20 00:00:00,5765.41666667
S,SUL,2000-04-20 00:00:00,6825.3125
SE,SUDESTE,2000-04-20 00:00:00,26322.39166667
N,NORTE,2000-04-21 00:00:00,2288.5125
NE,NORDESTE,2000-04-21 00:00:00,4969.49583333
S,SUL,2000-04-21 00:00:00,5016.91666667
SE,SUDESTE,2000-04-21 00:00:00,20750.40833333
N,NORTE,2000-04-22 00:00:00,2352.7125
NE,NORDESTE,2000-04-22 00:00:00,5388.54583333
S,SUL,2000-04-22 00:00:00,5473.55833333
SE,SUDESTE,2000-04-22 00:00:00,22211.11666667
N,NORTE,2000-04-23 00:00:00,2307.3
NE,NORDESTE,2000-04-23 00:00:00,5240.12916667
S,SUL,2000-04-23 00:00:00,4898.14166667
SE,SUDESTE,2000-04-23 00:00:00,20683.60833333
N,NORTE,2000-04-24 00:00:00,2491.0625
NE,NORDESTE,2000-04-24 00:00:00,5967.61666667
S,SUL,2000-04-24 00:00:00,6705.77916667
SE,SUDESTE,2000-04-24 00:00:00,25484.225
N,NORTE,2000-04-25 00:00:00,2462.72083333
NE,NORDESTE,2000-04-25 00:00:00,5991.15
S,SUL,2000-04-25 00:00:00,7118.34583333
SE,SUDESTE,2000-04-25 00:00:00,26436.19583333
N,NORTE,2000-04-26 00:00:00,2458.46666667
NE,NORDESTE,2000-04-26 00:00:00,5960.41666667
S,SUL,2000-04-26 00:00:00,7292.84166667
SE,SUDESTE,2000-04-26 00:00:00,26576.15
N,NORTE,2000-04-27 00:00:00,2489.0625
NE,NORDESTE,2000-04-27 00:00:00,5974.48333333
S,SUL,2000-04-27 00:00:00,7372.71833333
SE,SUDESTE,2000-04-27 00:00:00,26718.81916667
N,NORTE,2000-04-28 00:00:00,2484.17083333
NE,NORDESTE,2000-04-28 00:00:00,6035.775
S,SUL,2000-04-28 00:00:00,7426.82916667
